nih_reporter_name,nih_reporter_ipf_code,org_city,org_state,org_country,canonical_name,ror_link,openalex_link
MEDICAL UNIVERSITY OF SOUTH CAROLINA,7575301,CHARLESTON,SC,USA,MEDICAL UNIVERSITY OF SOUTH CAROLINA,https://ror.org/012jban78,https://openalex.org/i153297377
CLEMSON UNIVERSITY,1626401,CLEMSON,SC,USA,CLEMSON UNIVERSITY,https://ror.org/037s24f05,https://openalex.org/i8078737
UNIVERSITY OF SOUTH CAROLINA AT COLUMBIA,1524302,COLUMBIA,SC,USA,UNIVERSITY OF SOUTH CAROLINA,https://ror.org/02b6qw903,https://openalex.org/i155781252
ST. JUDE CHILDREN'S RESEARCH HOSPITAL,7893501,MEMPHIS,TN,USA,ST. JUDE CHILDREN'S RESEARCH HOSPITAL,https://ror.org/02r3e0967,https://openalex.org/i1313298211
UNIVERSITY OF TENNESSEE HEALTH SCI CTR,578302,MEMPHIS,TN,USA,UNIVERSITY OF TENNESSEE HEALTH SCIENCE CENTER,https://ror.org/0011qv509,https://openalex.org/i160606119
VANDERBILT UNIVERSITY,8721001,Nashville,TN,USA,VANDERBILT UNIVERSITY,https://ror.org/02vm5rt34,https://openalex.org/i200719446
VANDERBILT UNIVERSITY MEDICAL CENTER,10040927,NASHVILLE,TN,USA,VANDERBILT UNIVERSITY MEDICAL CENTER,https://ror.org/05dq2gs74,https://openalex.org/i901861585
UNIVERSITY OF TEXAS AT AUSTIN,578403,AUSTIN,TX,USA,UNIVERSITY OF TEXAS AT AUSTIN,https://ror.org/00hj54h04,https://openalex.org/i86519309
TEXAS A&M AGRILIFE RESEARCH,8266920,College Station,TX,USA,TEXAS A&M,https://ror.org/01f5ytq51,https://openalex.org/i91045830
UT SOUTHWESTERN MEDICAL CENTER,578404,DALLAS,TX,USA,UT SOUTHWESTERN MEDICAL CENTER,https://ror.org/05byvp690,https://openalex.org/i867280407
UNIVERSITY OF TEXAS MEDICAL BR GALVESTON,578406,GALVESTON,TX,USA,UNIVERSITY OF TEXAS MEDICAL GALVESTON,https://ror.org/016tfm930,https://openalex.org/i55302922
BAYLOR COLLEGE OF MEDICINE,481201,HOUSTON,TX,USA,BAYLOR COLLEGE OF MEDICINE,https://ror.org/02pttbw34,https://openalex.org/i181547552
METHODIST HOSPITAL RESEARCH INSTITUTE,10005742,HOUSTON,TX,USA,METHODIST HOSPITAL RESEARCH INSTITUTE,https://ror.org/027zt9171,https://openalex.org/i1295876152
RICE UNIVERSITY,9291001,HOUSTON,TX,USA,RICE UNIVERSITY,https://ror.org/008zs3103,https://openalex.org/i74775410
UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,578417,HOUSTON,TX,USA,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER HOUSTON,https://ror.org/03gds6c39,https://openalex.org/i919571938
UNIVERSITY OF TX MD ANDERSON CANCER CTR,578407,HOUSTON,TX,USA,MD ANDERSON CANCER CENTER,https://ror.org/04twxam07,https://openalex.org/i1343551460
TEXAS BIOMEDICAL RESEARCH INSTITUTE,7660801,SAN ANTONIO,TX,USA,TEXAS BIOMEDICAL RESEARCH INSTITUTE,https://ror.org/00wbskb04,https://openalex.org/i1289525096
UNIVERSITY OF TEXAS HLTH SCIENCE CENTER,578418,SAN ANTONIO,TX,USA,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER,https://ror.org/02f6dcw23,https://openalex.org/i165951966
UNIVERSITY OF TEXAS SAN ANTONIO,578416,SAN ANTONIO,TX,USA,UNIVERSITY OF TEXAS SAN ANTONIO,https://ror.org/01kd65564,https://openalex.org/i45438204
UTAH STATE HIGHER EDUCATION SYSTEM--UNIVERSITY OF UTAH,514002,SALT LAKE CITY,UT,USA,UNIVERSITY OF UTAH,https://ror.org/03r0ha626,https://openalex.org/i223532165
VIRGINIA POLYTECHNIC INSTITUTE AND ST UNIV,8968001,BLACKSBURG,VA,USA,VIRGINIA POLYTECHNIC INSTITUTE,https://ror.org/02smfhw86,https://openalex.org/i859038795
UNIVERSITY OF VIRGINIA,1526402,CHARLOTTESVILLE,VA,USA,UNIVERSITY OF VIRGINIA,https://ror.org/0153tk833,https://openalex.org/i51556381
VIRGINIA COMMONWEALTH UNIVERSITY,353201,RICHMOND,VA,USA,VIRGINIA COMMONWEALTH UNIVERSITY,https://ror.org/02nkdxk79,https://openalex.org/i184840846
UNIVERSITY OF VERMONT & ST AGRIC COLLEGE,8738101,BURLINGTON,VT,USA,UNIVERSITY OF VERMONT,https://ror.org/0155zta11,https://openalex.org/i111236770
WASHINGTON STATE UNIVERSITY,9082001,PULLMAN,WA,USA,WASHINGTON STATE UNIVERSITY,https://ror.org/05dk0ce17,https://openalex.org/i72951846
BENAROYA RESEARCH INSTITUTE AT VIRGINIA MASON,8961401,SEATTLE,WA,USA,BENAROYA RESEARCH INSTITUTE,https://ror.org/04j9rp686,https://openalex.org/i4391012615
FRED HUTCHINSON CANCER RESEARCH CENTER,861001,SEATTLE,WA,USA,FRED HUTCHINSON CANCER RESEARCH CENTER,https://ror.org/007ps6h72,https://openalex.org/i4210089486
SEATTLE CHILDREN'S HOSPITAL,1531401,SEATTLE,WA,USA,SEATTLE CHILDREN'S HOSPITAL,https://ror.org/01njes783,https://openalex.org/i1295499534
UNIVERSITY OF WASHINGTON,9087701,SEATTLE,WA,USA,UNIVERSITY OF WASHINGTON,https://ror.org/00cvxb145,https://openalex.org/i201448701
UNIVERSITY OF WISCONSIN-MADISON,578503,MADISON,WI,USA,UNIVERSITY OF WISCONSIN-MADISON,https://ror.org/01y2jtd41,https://openalex.org/i135310074
MEDICAL COLLEGE OF WISCONSIN,46001,MILWAUKEE,WI,USA,MEDICAL COLLEGE OF WISCONSIN,https://ror.org/00qqv6244,https://openalex.org/i204308271
WEST VIRGINIA UNIVERSITY,9163701,MORGANTOWN,WV,USA,WEST VIRGINIA UNIVERSITY,https://ror.org/011vxgd24,https://openalex.org/i12097938
NORTHWELL HEALTH,4155008,NEW HYDE PARK,NY,USA,NORTHWELL HEALTH,https://ror.org/02bxt4m23,https://openalex.org/i1302444339
